Month,ZipCode,ZipName,Nielsen HH Rank,Hotness Rank Within County,CountyFIPS,CountyName,Hotness Rank Within CBSA,CBSACode,CBSATitle,Hotness Rank ,Hotness Rank M/M,Hotness Rank Y/Y,Hotness Score,Supply Score,Demand Score,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,Median DOM (vs US),Median DOM (vs CBSA),Median DOM (vs County),Views Per Property M/M,Views Per Property Y/Y,Views Per Property  (vs US),Views Per Property  (vs CBSA),Views Per Property  (vs County),Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Median Listing Price  (vs US),Median Listing Price  (vs CBSA),Median Listing Price  (vs County),Quality Flag
201904,01701,"Framingham, MA",2811,38,25017,"Middlesex",93,14460,"Boston-Cambridge-Newton, MA-NH",704,-351,-512,91.301322,91.231732776618,91.3709116214335,30,0,0.0167,13,0.7941,-27,-1,3,-0.1381,-0.2121,1.9623,0.9398,0.9123,519500.00,-0.0378,0.0089,1.6759,0.9150,0.8031,
201904,01005,"Barre, MA",12847,49,25027,"Worcester",52,49340,"Worcester, MA-CT",3937,6093,-459,70.035427,67.4384766242804,72.632378060353,45,-118,-0.7210,-6,-0.1202,-12,5,9,-0.0238,-0.3429,1.2893,0.6508,0.6065,301225.00,-0.0024,0.2245,0.9717,0.9131,0.8548,
201904,01850,"Lowell, MA",7793,8,25017,"Middlesex",19,14460,"Boston-Cambridge-Newton, MA-NH",85,2582,-76,98.383628,97.5264123489593,99.2408426646422,22,-41,-0.6484,9,0.7308,-35,-9,-4,-0.0822,-0.4237,3.3711,1.6145,1.5673,287400.00,0.0648,0.0666,0.9271,0.5062,0.4443,
201904,01118,"Springfield, MA",7634,1,25013,"Hampden",2,44140,"Springfield, MA",341,1439,66,95.154046,96.5458341241222,93.7622572278105,24,-24,-0.5052,1,0.0435,-34,-20,-20,0.0432,-0.0398,2.1258,1.0596,0.9912,193650.00,0.0895,0.1246,0.6247,0.7450,0.8190,
201904,01944,"Manchester, MA",12371,34,25009,"Essex",209,14460,"Boston-Cambridge-Newton, MA-NH",4847,1491,3563,65.625988,45.3659770987537,85.8859998734738,62,-28,-0.3132,-51,-0.4493,4,30,31,0.0233,0.0820,1.6604,0.7952,0.6286,995900.00,-0.2623,-0.4142,3.2127,1.7540,1.8989,
201904,01550,"Southbridge, MA",6719,48,25027,"Worcester",50,49340,"Worcester, MA-CT",3822,-1540,-28,70.64908,63.4845321692921,77.8136268741697,48,8,0.2063,7,0.1768,-9,8,11,0.0275,0.0769,1.4088,0.7111,0.6627,213650.00,-0.0863,0.0959,0.6892,0.6476,0.6063,
201904,01945,"Marblehead, MA",5590,28,25009,"Essex",128,14460,"Boston-Cambridge-Newton, MA-NH",1334,-344,-455,86.123237,78.5474789650155,93.6989941165307,39,-5,-0.1136,6,0.1818,-19,7,8,-0.1780,-0.1178,2.1195,1.0151,0.8024,746225.00,0.0737,0.0170,2.4073,1.3143,1.4229,
201904,01720,"Acton, MA",5516,29,25017,"Middlesex",71,14460,"Boston-Cambridge-Newton, MA-NH",445,-234,74,94.091225,97.7604858606946,90.4219649522364,22,-4,-0.1538,3,0.1579,-36,-10,-5,-0.2256,-0.0066,1.8994,0.9096,0.8830,717250.00,0.1036,0.0474,2.3138,1.2633,1.1088,
201904,01950,"Newburyport, MA",5993,24,25009,"Essex",109,14460,"Boston-Cambridge-Newton, MA-NH",924,-29,-619,89.498324,79.2813310558613,99.7153159992408,38,-7,-0.1538,10,0.3750,-19,6,7,-0.1973,-0.1619,4.0692,1.9488,1.5405,712500.00,0.0297,0.2978,2.2985,1.2549,1.3586,
201904,01863,"North Chelmsford, MA",9365,33,25017,"Middlesex",79,14460,"Boston-Cambridge-Newton, MA-NH",506,290,-415,93.528184,87.0690200544063,99.987347377744,33,-10,-0.2330,12,0.5698,-24,1,6,0.3463,-0.0299,6.9434,3.3253,3.2281,377400.00,-0.0132,0.0942,1.2175,0.6647,0.5834,
