,Zip_code,Date,median_price,Sale_count
0,97006,2008-03,288000.0,28.0
1,97007,2008-03,321300.0,65.0
2,97008,2008-03,297300.0,15.0
3,97005,2008-03,253600.0,17.0
4,97003,2008-03,246900.0,18.0
5,97006,2008-04,284100.0,33.0
6,97007,2008-04,316900.0,54.0
7,97008,2008-04,293500.0,14.0
8,97005,2008-04,249500.0,16.0
9,97003,2008-04,243100.0,25.0
10,97006,2008-05,279300.0,38.0
11,97007,2008-05,311200.0,44.0
12,97008,2008-05,288600.0,26.0
13,97005,2008-05,244500.0,21.0
14,97003,2008-05,238700.0,30.0
15,97006,2008-06,274700.0,42.0
16,97007,2008-06,305900.0,51.0
17,97008,2008-06,284100.0,22.0
18,97005,2008-06,239800.0,23.0
19,97003,2008-06,234500.0,24.0
20,97006,2008-07,271800.0,33.0
21,97007,2008-07,302700.0,52.0
22,97008,2008-07,281500.0,36.0
23,97005,2008-07,236900.0,23.0
24,97003,2008-07,232100.0,29.0
25,97006,2008-08,270300.0,34.0
26,97007,2008-08,301300.0,55.0
27,97008,2008-08,280400.0,31.0
28,97005,2008-08,235700.0,26.0
29,97003,2008-08,231000.0,34.0
30,97006,2008-09,269300.0,26.0
31,97007,2008-09,300500.0,46.0
32,97008,2008-09,279600.0,33.0
33,97005,2008-09,235200.0,17.0
34,97003,2008-09,230600.0,20.0
35,97006,2008-10,267700.0,26.0
36,97007,2008-10,299200.0,45.0
37,97008,2008-10,278500.0,25.0
38,97005,2008-10,234400.0,15.0
39,97003,2008-10,229900.0,24.0
40,97006,2008-11,265300.0,17.0
41,97007,2008-11,297100.0,27.0
42,97008,2008-11,276500.0,11.0
43,97005,2008-11,232900.0,11.0
44,97003,2008-11,228500.0,14.0
45,97006,2008-12,263300.0,22.0
46,97007,2008-12,295200.0,35.0
47,97008,2008-12,275100.0,14.0
48,97005,2008-12,231400.0,13.0
49,97003,2008-12,227000.0,20.0
50,97006,2009-01,262200.0,17.0
51,97007,2009-01,294000.0,24.0
52,97008,2009-01,274200.0,9.0
53,97005,2009-01,230600.0,6.0
54,97003,2009-01,226400.0,13.0
55,97006,2009-02,260800.0,20.0
56,97007,2009-02,292900.0,38.0
57,97008,2009-02,273000.0,14.0
58,97005,2009-02,229900.0,7.0
59,97003,2009-02,225600.0,16.0
60,97006,2009-03,258600.0,22.0
61,97007,2009-03,291600.0,34.0
62,97008,2009-03,271400.0,17.0
63,97005,2009-03,228900.0,11.0
64,97003,2009-03,224300.0,23.0
65,97006,2009-04,255900.0,25.0
66,97007,2009-04,289500.0,32.0
