,Zip_code,Date,Sale_count
0,97006,2008-03,28.0
1,97007,2008-03,65.0
2,97008,2008-03,15.0
3,97005,2008-03,17.0
4,97003,2008-03,18.0
5,97006,2008-04,33.0
6,97007,2008-04,54.0
7,97008,2008-04,14.0
8,97005,2008-04,16.0
9,97003,2008-04,25.0
10,97006,2008-05,38.0
11,97007,2008-05,44.0
12,97008,2008-05,26.0
13,97005,2008-05,21.0
14,97003,2008-05,30.0
15,97006,2008-06,42.0
16,97007,2008-06,51.0
17,97008,2008-06,22.0
18,97005,2008-06,23.0
19,97003,2008-06,24.0
20,97006,2008-07,33.0
21,97007,2008-07,52.0
22,97008,2008-07,36.0
23,97005,2008-07,23.0
24,97003,2008-07,29.0
25,97006,2008-08,34.0
26,97007,2008-08,55.0
27,97008,2008-08,31.0
28,97005,2008-08,26.0
29,97003,2008-08,34.0
30,97006,2008-09,26.0
31,97007,2008-09,46.0
32,97008,2008-09,33.0
33,97005,2008-09,17.0
34,97003,2008-09,20.0
35,97006,2008-10,26.0
36,97007,2008-10,45.0
37,97008,2008-10,25.0
38,97005,2008-10,15.0
39,97003,2008-10,24.0
40,97006,2008-11,17.0
41,97007,2008-11,27.0
42,97008,2008-11,11.0
43,97005,2008-11,11.0
44,97003,2008-11,14.0
45,97006,2008-12,22.0
46,97007,2008-12,35.0
47,97008,2008-12,14.0
48,97005,2008-12,13.0
49,97003,2008-12,20.0
50,97006,2009-01,17.0
51,97007,2009-01,24.0
52,97008,2009-01,9.0
53,97005,2009-01,6.0
54,97003,2009-01,13.0
55,97006,2009-02,20.0
56,97007,2009-02,38.0
57,97008,2009-02,14.0
58,97005,2009-02,7.0
59,97003,2009-02,16.0
60,97006,2009-03,22.0
61,97007,2009-03,34.0
62,97008,2009-03,17.0
63,97005,2009-03,11.0
64,97003,2009-03,23.0
65,97006,2009-04,25.0
66,97007,2009-04,32.0
67,97008,2009-04,18.0
68,97005,2009-04,15.0
69,97003,2009-04,15.0
70,97006,2009-05,26.0
71,97007,2009-05,35.0
72,97008,2009-05,18.0
73,97005,2009-05,15.0
74,97003,2009-05,32.0
75,97006,2009-06,35.0
76,97007,2009-06,58.0
77,97008,2009-06,26.0
78,97005,2009-06,16.0
79,97003,2009-06,28.0
80,97006,2009-07,52.0
81,97007,2009-07,77.0
82,97008,2009-07,31.0
83,97005,2009-07,28.0
84,97003,2009-07,32.0
85,97006,2009-08,41.0
86,97007,2009-08,56.0
87,97008,2009-08,35.0
88,97005,2009-08,24.0
89,97003,2009-08,30.0
90,97006,2009-09,30.0
91,97007,2009-09,63.0
92,97008,2009-09,34.0
93,97005,2009-09,21.0
94,97003,2009-09,52.0
95,97006,2009-10,51.0
96,97007,2009-10,53.0
97,97008,2009-10,32.0
98,97005,2009-10,21.0
99,97003,2009-10,35.0
100,97006,2009-11,44.0
101,97007,2009-11,58.0
102,97008,2009-11,38.0
103,97005,2009-11,21.0
104,97003,2009-11,37.0
105,97006,2009-12,24.0
106,97007,2009-12,41.0
107,97008,2009-12,19.0
108,97005,2009-12,12.0
109,97003,2009-12,28.0
110,97006,2010-01,18.0
111,97007,2010-01,26.0
112,97008,2010-01,16.0
113,97005,2010-01,9.0
114,97003,2010-01,25.0
115,97006,2010-02,26.0
116,97007,2010-02,35.0
117,97008,2010-02,11.0
118,97005,2010-02,5.0
119,97003,2010-02,25.0
120,97006,2010-03,44.0
121,97007,2010-03,55.0
122,97008,2010-03,26.0
123,97005,2010-03,16.0
124,97003,2010-03,40.0
125,97006,2010-04,37.0
126,97007,2010-04,60.0
127,97008,2010-04,22.0
128,97005,2010-04,20.0
129,97003,2010-04,30.0
130,97006,2010-05,46.0
131,97007,2010-05,68.0
132,97008,2010-05,22.0
133,97005,2010-05,16.0
134,97003,2010-05,31.0
135,97006,2010-06,50.0
136,97007,2010-06,49.0
137,97008,2010-06,25.0
138,97005,2010-06,15.0
139,97003,2010-06,21.0
140,97006,2010-07,22.0
141,97007,2010-07,47.0
142,97008,2010-07,15.0
143,97005,2010-07,8.0
144,97003,2010-07,15.0
145,97006,2010-08,19.0
146,97007,2010-08,51.0
147,97008,2010-08,30.0
148,97005,2010-08,10.0
149,97003,2010-08,27.0
150,97006,2010-09,22.0
151,97007,2010-09,42.0
152,97008,2010-09,20.0
153,97005,2010-09,9.0
154,97003,2010-09,27.0
155,97006,2010-10,22.0
156,97007,2010-10,31.0
157,97008,2010-10,20.0
158,97005,2010-10,14.0
159,97003,2010-10,20.0
160,97006,2010-11,19.0
161,97007,2010-11,52.0
162,97008,2010-11,13.0
163,97005,2010-11,17.0
164,97003,2010-11,18.0
165,97006,2010-12,39.0
166,97007,2010-12,41.0
